000000  00000  00000  01000  00000  100001	addu $t0, $0, $0   // t0=R8
001000  00000  01001  00000  00000  001010 	addi  $t1, $0, 10   // t1=R9
001000  00000  01010  00000  00000  001101 	addi  $t2, $0, 13   // t2=R10
000000  01001  01001  01011  00000  011000 	mul   $t3, $t1, $t1// t3=R11
000010  00000  00000  00000  00000  010111 	j          Jump
// bubble :
001000  00000  01000  00000  00000  001010	addi  $t0, 10
001000  00000  01001  00000  00000  000100 	addi  $t1, 4
000000  01000  01001  01100  00000  011000 	mul   $t4, $t0, $t1// t4=R12
//outer :
001000  00000  01110  00000  00000  001000 	addi  $t6, $0, 8  //t6=R14
000000  01100  01110  01000  00000  100011 	subu $t0, $t4, $t6
001000  00000  01001  00000  00000  000000 	li        $t1, 0
// inner :
100011  01000  01010  00000  00000  000100 	lw      $t2, 4($t0)
100011  01000  01011  00000  00000  000000 	lw      $t3, 0($t0)
000110  01010  01011  00000  00000  000011 	ble     $t2, $t3, no_swap
101011  01000  01010  00000  00000  000000 	sw     $t2, 0($t0)
101011  01000  01011  00000  00000  000100 	sw     $t3, 4($t0)
001000  00000  01001  00000  00000  000001 	li        $t1, 1
// no-swap :
001000  00000  01101  00000  00000  000100 	addi  $t5, $0, 4
000000  01000  01101  01000  00000  100011 	subu $t0, $t0, $t5
000001  01000  00000  00000  00000  000001 	bltz   $t0, next_turn
000010  00000  00000  00000  00000  001011 	j         inner
// next-turn :
000101  01001  00000  11111  11111  110010 	bnez $t1, outer
000010  00000  00000  00000  00000  011011 	j         End
// Jump :
000000  01010  01001  01010  00000  100011 	subu $t2, $t2, $t1
// Loop :
000000  01011  01010  01100  00000  100001 	addu $t4, $t3, $t2
000100  01001  01010  11111  11111  111110 	beq   $t1, $t2, Loop
000010  00000  00000  00000  00000  000101 	j         bubble
// End :
000000  00000  00000  00000  00000  000000 	
000000  00000  00000  00000  00000  000000
000000  00000  00000  00000  00000  000000
